code,name,lat,lng
0AK,Pilot Station Airport,61.96169,-162.941944
A61,Tuntutuliak Airport,60.351243,-162.654476
AGGH,Honiara International Airport,-9.428,160.054993
AYPY,Port Moresby Jacksons International Airport,-9.443380355834961,147.22000122070312
BGGH,Nuuk International Airport,64.191066,-51.67914
BIKF,Keflavik International Airport,63.985001,-22.6056
BKPR,Priština Adem Jashari International Airport,42.5728,21.035801
CYEG,Edmonton International Airport,53.3097,-113.580002
CYFB,Iqaluit Airport,63.756402,-68.555801
CYHZ,Halifax / Stanfield International Airport,44.8807983398,-63.5085983276
CYOW,Ottawa Macdonald-Cartier International Airport,45.322498,-75.669197
CYQB,Quebec Jean Lesage International Airport,46.7911,-71.393303
CYUL,Montreal / Pierre Elliott Trudeau International Airport,45.467837,-73.742294
CYVR,Vancouver International Airport,49.193901062,-123.183998108
CYWG,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816
CYYC,Calgary International Airport,51.118822,-114.009933
CYYZ,Toronto Lester B. Pearson International Airport,43.6772,-79.6306
DAAG,Houari Boumediene Airport,36.693886,3.214531
DBBB,Cotonou Cadjehoun International Airport,6.35723,2.38435
DGAA,Kotoka International Airport,5.605189800262451,-0.16678600013256073
DIAP,Félix-Houphouët-Boigny International Airport,5.26139,-3.92629
DNAA,Nnamdi Azikiwe International Airport,9.00679,7.26317
DNMM,Murtala Muhammed International Airport,6.57737,3.32116
DTTA,Tunis Carthage International Airport,36.851002,10.2272
DXXX,Lomé–Tokoin International Airport,6.16561,1.25451
EBB,Entebbe International Airport,0.0424,32.4435
EBBR,Brussels Airport,50.901402,4.48444
EDDB,Berlin Brandenburg Airport,52.362247,13.500672
EDDF,Frankfurt Airport,50.030241,8.561096
EDDH,Hamburg Helmut Schmidt Airport,53.630402,9.98823
EDDK,Cologne Bonn Airport,50.865898,7.14274
EDDL,Düsseldorf Airport,51.289501,6.76678
EDDM,Munich Airport,48.353802,11.7861
EDDN,Nuremberg Airport,49.498699,11.078056
EDDP,Leipzig/Halle Airport,51.420657,12.232705
EDDS,Stuttgart Airport,48.689899,9.22196
EDDV,Hannover Airport,52.461102,9.68508
EDDW,Bremen Airport,53.046786,8.78932
EDLW,Dortmund Airport,51.518299,7.61224
EETN,Lennart Meri Tallinn Airport,59.413246,24.83264
EFHK,Helsinki Vantaa Airport,60.318363,24.963341
EGAA,Belfast International Airport,54.6575012207,-6.2158298492399995
EGBB,Birmingham Airport,52.453899,-1.74803
EGCC,Manchester Airport,53.3494,-2.2795
EGGW,London Luton Airport,51.874699,-0.368333
EGKK,London Gatwick Airport,51.148771,-0.192089
EGLC,London City Airport,51.505299,0.055278
EGLL,London Heathrow Airport,51.4700,-0.4543
EGPE,Inverness Airport,57.5425,-4.0475
EGPF,Glasgow Airport,55.871899,-4.43306
EGPH,Edinburgh Airport,55.950145,-3.372288
EGSS,London Stansted Airport,51.884998,0.235
EHAM,Amsterdam Airport Schiphol,52.3081,4.7642
EHEH,Eindhoven Airport,51.4500999451,5.37452983856
EHRD,Rotterdam The Hague Airport,51.956902,4.43722
EIDW,Dublin Airport,53.428713,-6.262121
EINN,Shannon Airport,52.702,-8.92482
EKBI,Billund Airport,55.740335,9.157019
EKCH,Copenhagen Kastrup Airport,55.617900848389,12.656000137329
ELLX,Luxembourg-Findel International Airport,49.6233333,6.2044444
ENBR,"Bergen Airport, Flesland",60.2934,5.21814
ENGM,"Oslo Airport, Gardermoen",60.193901,11.1004
ENTC,"Tromsø Airport, Langnes",69.683296,18.9189
ENVA,"Trondheim Airport, Værnes",63.457802,10.924
ENZV,"Stavanger Airport, Sola",58.876701,5.63778
EPGD,Gdańsk Lech Wałęsa Airport,54.377602,18.4662
EPKK,Kraków John Paul II International Airport,50.077702,19.7848
EPKT,Katowice Wojciech Korfanty International Airport,50.476015,19.080705
EPLB,Lublin Airport,51.240157,22.713461
EPLL,Łódź Władysław Reymont Airport,51.721901,19.3981
EPPO,Poznań-Ławica Airport,52.421598,16.823359
EPWA,Warsaw Chopin Airport,52.165699,20.9671
EPWR,Copernicus Wrocław Airport,51.103719,16.882096
ESGG,Göteborg Landvetter Airport,57.6628,12.2798
ESSA,Stockholm-Arlanda Airport,59.64849,17.928829
EVRA,Riga International Airport,56.920752,23.970711
EYVI,Vilnius International Airport,54.634102,25.285801
FABL,Bram Fischer International Airport,-29.092699,26.302401
FACT,Cape Town International Airport,-33.9648017883,18.6016998291
FALE,King Shaka International Airport,-29.6144444444,31.1197222222
FAOR,O.R. Tambo International Airport,-26.1392,28.246
FBSK,Sir Seretse Khama International Airport,-24.555201,25.9182
FCBB,Maya-Maya International Airport,-4.2517,15.253
FDSK,King Mswati III International Airport,-26.358611,31.716944
FIMP,Sir Seewoosagur Ramgoolam International Airport,-20.430201,57.683601
FKKD,Douala International Airport,4.00608,9.71948
FKYS,Yaoundé Nsimalen International Airport,3.72256,11.5533
FLKK,Kenneth Kaunda International Airport,-15.330833,28.452722
FMCH,Prince Said Ibrahim International Airport,-11.5337,43.2719
FMEE,Roland Garros Airport,-20.890087,55.518894
FNLU,Quatro de Fevereiro International Airport,-8.85837,13.2312
FOOG,Port Gentil International Airport,-0.711739,8.75438
FOOL,Libreville Leon M'ba International Airport,0.4586,9.41228
FOON,M'Vengue El Hadj Omar Bongo Ondimba International Airport,-1.65616,13.438
FQMA,Maputo Airport,-25.920799,32.572601
FTTJ,N'Djamena International Airport,12.1337,15.034
FVHA,Robert Gabriel Mugabe International Airport,-17.931801,31.0928
FXMM,Moshoeshoe I International Airport,-29.462299,27.5525
FYWH,Hosea Kutako International Airport,-22.4799,17.4709
FZAA,Ndjili International Airport,-4.38575,15.4446
GABS,Modibo Keita International Airport,12.5335,-7.94994
GBYD,Banjul International Airport,13.338,-16.652201
GCFV,Fuerteventura Airport,28.4527,-13.8638
GCLP,Gran Canaria Airport,27.9319,-15.3866
GCRR,César Manrique-Lanzarote Airport,28.945499,-13.6052
GCTS,Tenerife Sur Airport,28.0445,-16.5725
GFLL,Lungi International Airport,8.61644,-13.1955
GMAD,Al Massira Airport,30.322478,-9.412003
GMFF,Fes Saïss International Airport,33.927299,-4.97796
GMMN,Mohammed V International Airport,33.3675,-7.58997
GMMX,Menara Airport,31.606899,-8.0363
GMTT,Tangier Ibn Battuta Airport,35.731741,-5.921459
GOBD,Blaise Diagne International Airport,14.670878,-17.072829
GQNO,Nouakchott–Oumtounsy International Airport,18.31,-15.969722
GVAC,Amílcar Cabral International Airport,16.7414,-22.9494
GVNP,Nelson Mandela International Airport,14.941126,-23.484728
HAAB,Addis Ababa Bole International Airport,8.97789,38.799301
HBBA,Bujumbura Melchior Ndadaye International Airport,-3.32402,29.318501
HCMM,Aden Adde International Airport,2.01444,45.304699
HDAM,Djibouti-Ambouli Airport,11.5473,43.1595
HEBA,Alexandria International Airport,30.93249,29.696437
HECA,Cairo International Airport,30.111534,31.396694
HEGN,Hurghada International Airport,27.176776,33.796692
HESH,Sharm El Sheikh International Airport,27.977272,34.394717
HJJJ,Juba International Airport,4.87201,31.601101
HKJK,Jomo Kenyatta International Airport,-1.31923997402,36.9277992249
HKKI,Kisumu International Airport,-0.086139,34.728901
HKMO,Moi International Airport,-4.03483,39.5942
HLLM,Mitiga International Airport,32.89177,13.287878
HSSK,Khartoum International Airport,15.5895,32.5532
HTDA,Julius Nyerere International Airport,-6.87811,39.202599
HTZA,Abeid Amani Karume International Airport,-6.22202,39.224899
HUEN,Entebbe International Airport,0.042386,32.443501
K1G4,Grand Canyon West Airport,35.985787,-113.817072
KABE,Lehigh Valley International Airport,40.651773,-75.442797
KABI,Abilene Regional Airport,32.4113006592,-99.68190002440001
KABQ,Albuquerque International Sunport,35.039976,-106.608925
KABR,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469
KABY,Southwest Georgia Regional Airport,31.532946,-84.196215
KACK,Nantucket Memorial Airport,41.25310135,-70.06020355
KACT,Waco Regional Airport,31.611299514770508,-97.23049926757812
KACV,California Redwood Coast-Humboldt County Airport,40.978101,-124.109
KACY,Atlantic City International Airport,39.456201,-74.577511
KAEX,Alexandria International Airport,31.325828,-92.546702
KAGS,Augusta Regional At Bush Field,33.3699,-81.9645
KAIA,Alliance Municipal Airport,42.052543,-102.803965
KALB,Albany International Airport,42.748299,-73.801697
KALO,Waterloo Regional Airport,42.557098388671875,-92.40029907226562
KALS,San Luis Valley Regional Airport/Bergman Field,37.434898,-105.866997
KALW,Walla Walla Regional Airport,46.09489822,-118.288002
KAMA,Rick Husband Amarillo International Airport,35.217857,-101.706444
KANE,,45.145000,-93.211401
KAOO,Altoona Blair County Airport,40.296398,-78.32
KAPN,Alpena County Regional Airport,45.0780983,-83.56030273
KARB,Ann Arbor Municipal Airport,42.2229995728,-83.74559783939999
KART,Watertown International Airport,43.991901,-76.021698
KASE,Aspen-Pitkin County Airport (Sardy Field),39.223202,-106.869003
KATL,Hartsfield–Jackson Atlanta International Airport,33.6404,-84.4199
KATW,Appleton International Airport,44.258515,-88.519
KATY,Watertown Regional Airport,44.91400146,-97.15470123
KAUG,Augusta State Airport,44.320598602299995,-69.7973022461
KAUS,Austin Bergstrom International Airport,30.197535,-97.662015
KAVL,Asheville Regional Airport,35.435488,-82.541853
KAVP,Wilkes-Barre/Scranton International Airport,41.337064,-75.724232
KAZO,Kalamazoo/Battle Creek International Airport,42.232105,-85.549637
KBBG,Branson Airport,36.532082,-93.200544
KBDL,Bradley International Airport,41.938555,-72.688016
KBFD,Bradford Regional Airport,41.8031005859375,-78.64009857177734
