trip_id,date,stops,notes
1,3/1/22,KMSP|KMSN|KBNA|KVLD|KJAX|KFLL,Spring Break 2022
2,3/7/22,KFLL|KJAX|KVLD|KBNA|KSTL|KMSP,Spring Break 2022
3,3/1/23,KMSP|KSTL|KBNA|KVLD|KJAX|KFLL,Spring Break 2023
4,3/7/23,KFLL|KJAX|KVLD|KBNA|KSTL|KMSP,Spring Break 2023
5,1/1/25,KRIC|KDAY|KIND|KORD|KMSP,Tesla Model Y Homecoming
6,1/1/20,KDFW|KAUS|KSAT,Family Trip
7,1/1/20,KEWR|KBOS,Family Trip
8,1/1/20,KBOS|KJFK,Family Trip
9,1/1/20,KSAN|KLAX|KSBP|KMRY|KSFO,
10,1/1/20,KMSP|KBIS|KBZN,Family Trip
11,1/1/20,KBZN|KBIS|KMSP,Family Trip
12,1/1/20,KMSP|KBIS|KBZN,Family Trip
13,1/1/20,KBZN|KBIS|KMSP,Family Trip
14,1/1/20,KMSP|KCMX|KARB|KSBN|KORD|KMSN|KMSP,Family Trip
15,1/1/20,KMSP|KCVG,Family Trip
16,1/1/20,KCVG|KMSP,Family Trip
17,6/15/25,EGCC|EGPF|EGPE,UK Road Trip
