date,type,origin,destination,notes
2019-9-14,pic,KOEO,KEAU,N149AC
2019-9-14,pic,KEAU,KOEO,
2019-9-14,pic,KEAU,KOEO,N149AC
2019-10-20,pic,KOEO,KSSQ,N149AC
2019-10-20,pic,KSSQ,KOEO,N149AC
2019-11-23,pic,KOEO,KSYN,N149AC
2019-11-23,pic,KSYN,KOEO,N149AC
2026-02-13,pic,KOEO,KSTC,N5601A
2026-02-13,pic,KSTC,KOEO,N5601A
2026-03-20,pic,KOEO,KSTP,N5601A
2026-03-20,pic,KSTP,KANE,N5601A
2026-03-20,pic,KANE,KOEO,N5601A
2014-08-23,commercial,KMSP,KATL,AirTran
2014-08-23,commercial,KATL,KDCA,AirTran
2014-08-23,commercial,KDCA,KMKE,AirTran
2014-08-23,commercial,KMKE,KMSP,AirTran
2016-07-10,commercial,KMSP,KSFO,
2016-07-20,commercial,KSFO,KMSP,
2018-06-28,commercial,KMSP,KSAN,
2018-07-07,commercial,KSFO,KMSP,
2019-07-05,commercial,KMSP,KJFK,
2019-07-15,commercial,KJFK,KMSP,
2019-11-10,commercial,KMSP,EHAM,
2019-11-10,commercial,EHAM,KGL,
2019-11-10,commercial,KGL,EBB,
2019-11-17,commercial,EBB,NBO,
2019-11-18,commercial,WIL,MRE,
2019-11-22,commercial,MRE,WIL,
2019-11-23,commercial,NBO,EHAM,
2019-11-23,commercial,EHAM,KMSP,
2021-03-31,commercial,KMSP,KRSW,
2021-04-04,commercial,KRSW,KMSP,
2022-04-13,commercial,KMSP,KTPA,
2022-04-20,commercial,KTPA,KMSP,
2023-12-25,commercial,KMSP,MMUN,
2023-12-31,commercial,MMUN,KMSP,
2024-03-06,commercial,KMSP,KBNA,
2024-03-10,commercial,KBNA,KMSP,
2024-12-25,commercial,KMSP,MMUN,
2024-12-31,commercial,MMUN,KMSP,
2025-06-05,commercial,KMSP,KIAD,
2025-06-08,commercial,KIAD,KMSP,
2025-07-17,commercial,KMSP,KJFK,
2025-07-17,commercial,KJFK,EGCC,
2025-07-29,commercial,EGLL,KMSP,
2025-08-16,commercial,KMSP,KPHL,
2025-08-16,commercial,KPHL,KUNV,
2025-08-20,commercial,KUNV,KPHL,
2025-08-20,commercial,KPHL,KMSP,
2025-08-28,commercial,KMSP,KLGA,
2025-09-01,commercial,KLGA,KMSP,
2000-01-01,commercial,KMSP,KDFW,
2000-01-01,commercial,KSAT,KMSP,
2000-01-01,commercial,KMSP,KSEA,
2000-01-01,commercial,KSEA,KMSP,
2000-01-01,commercial,KMSP,KRDU,
2000-01-01,commercial,KRDU,KMSP,
2000-01-01,commercial,KMSP,TJSJ,
2000-01-01,commercial,TJSJ,KMSP,
2026-01-01,commercial,KMSP,KDTW,
2026-01-01,commercial,KDTW,KRIC,
2026-03-06,commercial,KMSP,KSFO,
2026-03-08,commercial,KSFO,KMSP,
2026-04-02,commercial,KMSP,RJTT,
2026-04-05,commercial,RJTT,WIII,
2026-04-05,commercial,WIII,WSSS,
2026-04-12,commercial,WSSS,RKSI,
2026-04-12,commercial,RKSI,KSEA,
2026-04-12,commercial,KSEA,KMSP,
2026-08-15,commercial,KMSP,KIAD,
2026-08-16,commercial,KIAD,KUNV,
2026-08-19,commercial,KUNV,KORD,
2026-08-19,commercial,KORD,KMSP,
2019-09-14,pic,KOEO,KEAU,N149AC
2019-09-14,pic,KEAU,KOEO,N149AC
2019-10-20,pic,KOEO,KSSQ,N149AC
2019-10-20,pic,KSSQ,KOEO,N149AC
2026-04-19,pic,KOEO,KRCX,N5601A
2026-04-19,pic,KRCX,KEAU,N5601A
2026-04-19,pic,KEAU,KOEO,N5601A
2026-05-01,pic,KOEO,KSUW,N5601A
2026-05-01,pic,KSUW,KRZN,N5601A
2026-05-01,pic,KRZN,KOEO,N5601A
2026-05-15,pic,KOEO,KEAU,N5601A
2026-05-15,pic,KEAU,KOEO,N5601A
